0.0336801,-0.0802413,1.21601,-0.0885185,0.0339103,1.11017
0.0405829,-0.08914,1.19714,-0.0812746,0.0529681,1.11525
0.10833,-0.122195,0.996481,-0.00577427,0.24765,1.10696
0.128168,-0.109028,0.928595,0.0158339,0.301817,1.08257
0.111348,-0.0998359,0.940929,0.0212505,0.280446,1.07615
0.111045,-0.0944496,0.958937,0.00697238,0.264538,1.07552
0.107276,-0.0828047,1.0158,-0.029259,0.21405,1.07526
0.0579757,-0.0676747,1.06518,-0.0288794,0.137417,1.07594
0.0419056,-0.0963663,1.09752,-0.0280603,0.116797,1.11071
0.0388869,-0.133716,1.1142,-0.0282128,0.116477,1.14674
